id,station,ru_name,latitude,longitude,obs_start,obs_end,download_start_year,download_end_year
22217,Kandalaksa,Кандалакша,67.15,32.35,,,1900,2026
22113,Murmansk,Мурманск,68.97,33.05,,,1900,2026
20744,Malye Karmakuly,Малые Кармакулы,72.37,52.7,,,1900,2026
23205,Nar’Jan-Mar,Нарьян-Мар,67.63,53.03,,,1900,2026
23022,Amderma,Амдерма,69.75,61.7,,,1900,2026
23330,Salehard,Салехард,66.53,66.67,,,1900,2026
20967,Sejaha,Сеяха,70.17,72.52,,,1900,2026
20674,Ostrov Dikson,Диксон,73.5,80.4,,,1900,2026
20891,Hatanga,Хатанга,71.98,102.47,,,1900,2026
21504,Ostrov Preobrazenija,о. Преображения,74.67,112.93,,,1900,2026
21802,Saskylah,Саскылах,71.97,114.08,,,1900,2026
21921,Kjusjur,Кюсюр,70.68,127.4,,,1900,2026
21824,Tiksi,Тикси,71.58,128.92,,,1900,2026
21931,Jubilejnaja,Юбилейная,70.77,136.22,,,1900,2026
21432,Ostrov Kotel’Nyj,о. Котельный,76.0,137.87,,,1900,2026
21647,Mys Shalaurova,мыс Шалаурова,73.18,143.23,,,1900,2026
21946,Chokurdah,Чокурдах,70.62,147.88,,,1900,2026
25123,Cherskij,Черский,68.75,161.28,,,1900,2026
25042,Ajon Island,о. Айон,69.83,168.67,,,1900,2026
25062,Mys Billingsa,мыс Биллингса,69.88,175.77,,,1900,2026
